name,form,url,artists,status
Pupitar,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/247Pupitar.png,Scepticallistic|Nopie,done
Tyranitar,,,Scepticallistic,reserved
Lugia,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/249Lugia.png,Wizwum,done
Ho-Oh,,,,
Celebi,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/251Celebi.png,Scepticallistic,done
Treecko,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/252Treecko.png,Scepticallistic|MrBlack,done
Grovyle,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/253Grovyle.png,Scepticallistic,done
Sceptile,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/254Sceptile.png,Scepticallistic,done
Torchic,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/255Torchic.png,Nopie|DarthVader317,done
Combusken,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/256Combusken.png,Nopie,done
Blaziken,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/257Blaziken.png,Nopie|TVBoyCanti,done
Mudkip,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/258Mudkip.png,Scepticallistic,done
Marshtomp,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/259Marshtomp.png,DjGopher,done
Swampert,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/260Swampert.png,Scepticallistic,done
Poochyena,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/261Poochyena.png,Sleet,done
Mightyena,,,,
Zigzagoon,,http://i1189.photobucket.com/albums/z435/Project_Amethyst/Project%20Amethyst/263Zigzagoon.png,DjGopher,done
Linoone,,,,
Wurmple,,,,
Silcoon,,,,
Beautifly,,,,
Cascoon,,,,
Dustox,,,,
